BARCODE	DOSE	DOSE_LEVEL	SACRIFICE_PERIOD
8269	ID_003017709004	0	Control	4
8270	ID_003017709005	0	Control	4
8271	ID_003017709006	0	Control	4
8272	ID_003017709016	0	Control	8
8273	ID_003017709017	0	Control	8
8274	ID_003017709018	0	Control	8
8275	ID_003017707019	0	Control	15
8276	ID_003017707020	0	Control	15
8277	ID_003017707021	0	Control	15
8278	ID_003017708001	0	Control	29
8279	ID_003017708002	0	Control	29
8280	ID_003017708003	0	Control	29
8281	ID_003017709007	10	Low	4
8282	ID_003017709008	10	Low	4
8283	ID_003017709009	10	Low	4
8284	ID_003017709019	10	Low	8
8285	ID_003017709020	10	Low	8
8286	ID_003017709021	10	Low	8
8287	ID_003017707022	10	Low	15
8288	ID_003017707023	10	Low	15
8289	ID_003017707024	10	Low	15
8290	ID_003017708004	10	Low	29
8291	ID_003017708005	10	Low	29
8292	ID_003017708006	10	Low	29
8293	ID_003017709010	30	Middle	4
8294	ID_003017709011	30	Middle	4
8295	ID_003017709012	30	Middle	4
8296	ID_003017709022	30	Middle	8
8297	ID_003017709023	30	Middle	8
8298	ID_003017709024	30	Middle	8
8299	ID_003017707025	30	Middle	15
8300	ID_003017707026	30	Middle	15
8301	ID_003017707027	30	Middle	15
8302	ID_003017708007	30	Middle	29
8303	ID_003017708008	30	Middle	29
8304	ID_003017708009	30	Middle	29
8305	ID_003017709013	100	High	4
8306	ID_003017709014	100	High	4
8307	ID_003017709015	100	High	4
8308	ID_003017709025	100	High	8
8309	ID_003017709026	100	High	8
8310	ID_003017709027	100	High	8
8311	ID_003017707028	100	High	15
8312	ID_003017707029	100	High	15
8313	ID_003017707030	100	High	15
8314	ID_003017708010	100	High	29
8315	ID_003017708011	100	High	29
8316	ID_003017708012	100	High	29
